POL_ID;INS_AGE;INS_GENDER;POL_EFF_DT;POL_TRMNT_DT;CAR_USE;CAR_TYPE;INS_AREA;CLM_FREQ; TOTAL_CLM_AMNT 
TDF0000044967;54;F;21/05/00;00/01/00;Private;Minivan;Urban;2; 395.000 
GDF0000044968;37;F;15/05/00;00/01/00;Commercial;Minivan;Urban;0; 0 
ADF0000044969;80;M;18/03/00;00/01/00;Private;Van;Urban;0; 0 
SDF0000044970;78;M;07/04/00;00/01/00;Private;SUV;Urban;2; 304.000 
GDF0000044971;70;F;03/12/00;00/01/00;Private;Minivan;Urban;0; 0 
KDF0000044972;48;M;04/06/00;00/01/00;Private;SUV;Urban;2; 689.000 
KDF0000044973;62;F;27/04/00;00/01/00;Commercial;Sports Car;Urban;0; 0 
SDF0000044974;46;F;02/12/00;00/01/00;Private;SUV;Urban;0; 0 
TDF0000044975;48;F;29/07/00;18/02/02;Private;Minivan;Urban;1; 507.000 
KDF0000044976;79;M;05/12/00;03/10/02;Commercial;SUV;Rural;0; 0 
TDF0000044977;22;M;07/03/00;11/04/02;Commercial;Van;Urban;1; 500.000 
TDF0000044978;37;F;15/03/00;29/06/02;Private;SUV;Urban;0; 0 
SDF0000044979;61;F;18/05/00;24/05/02;Commercial;Van;Rural;1; 611.000 
TDF0000044980;64;F;02/02/00;30/11/02;Private;Sports Car;Urban;0; 0 
ADF0000044981;74;M;30/08/00;17/07/02;Private;Minivan;Rural;0; 0 
GDF0000044982;34;F;06/06/00;26/10/02;Commercial;Van;Urban;2; 329.000 
KDF0000044983;71;M;18/08/00;21/08/02;Commercial;Truck;Urban;0; 0 
KDF0000044984;25;M;22/03/00;11/06/02;Private;Pickup;Rural;0; 0 
TDF0000044985;33;M;01/10/00;10/11/00;Private;SUV;Urban;0; 0 
ADF0000044986;38;M;15/09/00;00/01/00;Private;SUV;Rural;0; 0 
ADF0000044987;76;M;07/11/00;09/07/02;Private;Minivan;Urban;2; 636.000 
KDF0000044988;48;F;20/10/00;26/06/02;Private;Minivan;Urban;0; 0 
SDF0000044989;76;M;18/09/00;07/11/00;Private;SUV;Urban;0; 0 
GDF0000044990;65;M;09/11/00;03/10/02;Private;Minivan;Urban;0; 0 
TDF0000044991;34;M;02/07/00;01/04/02;Commercial;SUV;Urban;2; 705.000 
TDF0000044992;68;F;04/08/00;31/08/02;Commercial;Truck;Urban;0; 0 
GDF0000044993;18;M;14/12/00;06/08/02;Private;SUV;Urban;1; 533.000 
TDF0000044994;32;F;15/10/00;10/08/02;Private;Minivan;Urban;1; 438.000 
ADF0000044995;28;F;10/12/00;00/01/00;Private;SUV;Urban;3; 401.000 
GDF0000044996;68;M;21/10/00;16/01/02;Commercial;Truck;Urban;1; 699.000 
TDF0000044997;67;F;02/02/00;12/03/02;Commercial;Sports Car;Urban;1; 665.000 
KDF0000044998;74;F;29/01/00;15/11/02;Private;SUV;Rural;1; 127.000 
TDF0000044999;52;M;29/02/00;08/06/02;Private;SUV;Urban;1; 205.000 
ADF0000045000;78;F;02/08/00;16/03/02;Private;Minivan;Urban;1; 629.000 
TDF0000045001;47;F;07/06/00;16/08/02;Private;SUV;Urban;1; 714.000 
GDF0000045002;37;F;23/10/00;28/05/02;Private;SUV;Rural;2; 30.000 
KDF0000045003;64;F;02/06/00;02/10/02;Commercial;Truck;Urban;1; 64.000 
TDF0000045004;18;F;09/02/00;03/11/00;Private;Minivan;Urban;1; 333.000 
GDF0000045005;30;F;27/07/00;01/05/02;Commercial;Minivan;Rural;1; 671.000 
GDF0000045006;72;M;08/02/00;12/04/02;Private;SUV;Urban;1; 486.000 
ADF0000045007;59;F;27/04/00;09/08/02;Commercial;Truck;Urban;2; 75.000 
ADF0000045008;24;F;08/10/00;16/03/02;Commercial;Van;Urban;1; 604.000 
KDF0000045009;27;F;27/06/00;21/01/02;Private;Minivan;Rural;1; 216.000 
ADF0000045010;31;F;31/12/00;08/10/02;Private;Minivan;Urban;1; 99.000 
ADF0000045011;24;F;13/06/00;12/07/02;Private;SUV;Rural;1; 345.000 
GDF0000045012;45;M;03/05/00;00/01/00;Commercial;Van;Urban;1; 217.000 
SDF0000045013;29;F;02/04/00;00/01/00;Private;Sports Car;Urban;1; 531.000 
ADF0000045014;37;F;23/10/00;00/01/00;Private;SUV;Urban;1; 68.000 
SDF0000045015;22;M;21/05/00;00/01/00;Commercial;SUV;Rural;1; 537.000 
GDF0000045016;59;F;07/02/00;00/01/00;Commercial;Pickup;Urban;1; 331.000 
GDF0000045017;64;F;06/11/00;00/01/00;Private;Sports Car;Urban;1; 403.000 
SDF0000045018;76;F;27/04/00;00/01/00;Private;Minivan;Rural;1; 20.000 
KDF0000045019;63;F;12/06/00;00/01/00;Commercial;Truck;Urban;1; 322.000 
GDF0000045020;26;M;20/06/00;30/09/03;Commercial;Minivan;Urban;4; 239.000 
GDF0000045021;52;M;18/04/00;11/08/02;Commercial;SUV;Urban;2; 310.000 
ADF0000045022;46;F;07/06/00;00/01/00;Private;Minivan;Urban;1; 81.000 
GDF0000045023;58;M;16/09/00;00/01/00;Private;SUV;Rural;1; 621.000 
SDF0000045024;30;F;25/09/00;00/01/00;Private;Minivan;Urban;1; 211.000 
SDF0000045025;51;M;04/03/00;00/01/00;Private;Minivan;Urban;1; 674.000 
TDF0000045026;78;M;12/12/00;00/01/00;Commercial;Minivan;Rural;1; 474.000 
ADF0000045027;47;M;20/06/00;00/01/00;Commercial;Pickup;Urban;1; 672.000 
GDF0000045028;40;F;29/10/00;00/01/00;Private;Minivan;Urban;1; 694.000 
KDF0000045029;30;M;12/02/00;00/01/00;Commercial;Sports Car;Urban;1; 417.000 
SDF0000045030;47;M;08/01/00;05/01/02;Private;Minivan;Urban;2; 184.000 
GDF0000045031;34;F;14/05/00;00/01/00;Private;SUV;Urban;1; 408.000 
KDF0000045032;48;M;29/08/00;00/01/00;Private;Minivan;Urban;1; 634.000 
GDF0000045033;76;M;11/11/00;12/01/02;Private;Van;Urban;2; 208.000 
SDF0000045034;73;F;17/09/00;00/01/00;Private;Minivan;Rural;1; 136.000 
SDF0000045035;74;M;26/07/00;14/09/04;Commercial;Truck;Urban;5; 302.000 
ADF0000045036;69;F;17/03/00;00/01/00;Private;Minivan;Urban;1; 63.000 
GDF0000045037;49;M;08/03/00;28/05/03;Private;SUV;Urban;3; 12.000 
TDF0000045038;36;F;08/05/00;00/01/00;Private;SUV;Urban;1; 49.000 
ADF0000045039;43;F;27/01/00;30/08/04;Private;Sports Car;Urban;3; 569.000 
ADF0000045040;34;M;25/04/00;00/01/00;Private;Pickup;Urban;1; 346.000 
KDF0000045041;25;F;02/08/00;00/01/00;Private;SUV;Urban;1; 681.000 
ADF0000045042;66;F;20/01/00;00/01/00;Private;Sports Car;Urban;1; 22.000 
ADF0000045043;36;M;14/09/00;10/09/04;Private;Sports Car;Urban;3; 70.000 
KDF0000045044;62;F;05/12/00;16/02/02;Commercial;Truck;Urban;2; 596.000 
SDF0000045045;26;F;13/08/00;00/01/00;Private;Minivan;Urban;1; 704.000 
SDF0000045046;44;F;06/09/00;09/12/02;Private;SUV;Urban;3; 660.000 
ADF0000045047;24;M;11/10/00;00/01/00;Commercial;Truck;Urban;1; 79.000 
TDF0000045048;29;M;18/04/00;03/07/02;Commercial;Pickup;Urban;2; 343.000 
ADF0000045049;80;M;06/07/00;00/01/00;Commercial;Truck;Urban;1; 318.000 
GDF0000045050;28;M;14/03/00;00/01/00;Private;SUV;Urban;1; 685.000 
GDF0000045051;26;F;18/08/00;00/01/00;Private;Minivan;Urban;1; 416.000 
SDF0000045052;29;F;10/05/00;00/01/00;Private;Minivan;Urban;1; 239.000 
GDF0000045053;64;M;13/01/00;14/07/02;Private;Sports Car;Urban;2; 597.000 
ADF0000045054;28;F;07/08/00;03/04/02;Private;Sports Car;Urban;2; 122.000 
ADF0000045055;48;M;26/11/00;00/01/00;Commercial;SUV;Urban;1; 681.000 
GDF0000045056;35;M;25/07/00;00/01/00;Private;Sports Car;Urban;1; 689.000 
TDF0000045057;25;F;11/07/00;00/01/00;Commercial;Pickup;Urban;1; 250.000 
GDF0000045058;70;F;26/05/00;00/01/00;Private;SUV;Urban;1; 448.000 
TDF0000045059;59;F;09/05/00;00/01/00;Private;SUV;Urban;1; 692.000 
SDF0000045060;22;M;01/06/00;00/01/00;Commercial;Sports Car;Rural;1; 48.000 
TDF0000045061;55;M;04/12/00;00/01/00;Private;Minivan;Rural;1; 687.000 
TDF0000045062;55;M;10/12/00;00/01/00;Private;Minivan;Rural;1; 138.000 
TDF0000045063;35;M;13/07/00;00/01/00;Private;Minivan;Urban;1; 529.000 
ADF0000045064;39;M;09/10/00;04/02/02;Commercial;Van;Rural;2; 440.000 
KDF0000045065;57;M;30/03/00;00/01/00;Commercial;SUV;Urban;1; 358.000 
ADF0000045066;21;M;28/01/00;00/01/00;Private;SUV;Urban;1; 417.000 
KDF0000045067;46;M;04/09/00;00/01/00;Private;Minivan;Urban;1; 436.000 
KDF0000045068;25;F;08/10/00;00/01/00;Private;Pickup;Urban;1; 648.000 
TDF0000045069;55;F;26/02/00;00/01/00;Private;Minivan;Urban;1; 343.000 
SDF0000045070;51;F;16/04/00;15/01/02;Commercial;Pickup;Urban;2; 373.000 
GDF0000045071;56;M;08/11/00;00/01/00;Private;SUV;Rural;1; 536.000 
TDF0000045072;59;M;27/09/00;00/01/00;Private;Sports Car;Urban;1; 535.000 
ADF0000045073;40;M;15/04/00;00/01/00;Private;Minivan;Urban;1; 653.000 
GDF0000045074;49;F;12/08/00;06/01/02;Private;Van;Urban;2; 317.000 
ADF0000045075;45;M;14/09/00;05/07/02;Private;SUV;Urban;2; 318.000 
KDF0000045076;34;M;26/06/00;28/02/03;Private;Minivan;Urban;3; 576.000 
GDF0000045077;78;F;14/02/00;00/01/00;Private;Minivan;Urban;1; 24.000 
ADF0000045078;53;F;12/04/00;16/02/03;Commercial;Truck;Urban;3; 307.000 
KDF0000045079;58;F;29/05/00;00/01/00;Private;SUV;Urban;1; 365.000 
SDF0000045080;30;F;11/07/00;00/01/00;Commercial;Truck;Urban;1; 62.000 
SDF0000045081;37;M;02/07/00;00/01/00;Private;Pickup;Rural;1; 546.000 
GDF0000045082;77;F;23/01/00;00/01/00;Commercial;Minivan;Urban;1; 545.000 
ADF0000045083;72;F;07/11/00;00/01/00;Commercial;SUV;Urban;1; 340.000 
KDF0000045084;50;M;14/03/00;00/01/00;Private;Minivan;Urban;1; 487.000 
SDF0000045085;56;F;09/01/00;31/07/02;Private;SUV;Urban;2; 388.000 
GDF0000045086;66;M;22/09/00;00/01/00;Private;SUV;Urban;1; 605.000 
GDF0000045087;61;M;09/07/00;00/01/00;Commercial;Minivan;Rural;1; 568.000 
GDF0000045088;44;M;16/12/00;00/01/00;Commercial;Truck;Urban;1; 468.000 
KDF0000045089;68;M;21/08/00;02/04/02;Commercial;SUV;Urban;2; 356.000 
SDF0000045090;36;F;02/10/00;00/01/00;Private;SUV;Urban;1; 44.000 
KDF0000045091;54;M;15/07/00;00/01/00;Commercial;Pickup;Urban;2; 677.000 
GDF0000045092;24;M;28/08/00;00/01/00;Private;SUV;Urban;1; 217.000 
GDF0000045093;32;F;07/10/00;00/01/00;Commercial;Pickup;Urban;3; 630.000 
KDF0000045094;28;F;18/05/00;00/01/00;Private;SUV;Urban;1; 485.000 
SDF0000045095;50;M;10/09/00;00/01/00;Commercial;Van;Urban;1; 318.000 
TDF0000045096;50;F;07/12/00;00/01/00;Private;Sports Car;Rural;1; 104.000 
TDF0000045097;30;M;02/02/00;00/01/00;Private;SUV;Urban;5; 243.000 
KDF0000045098;32;F;22/11/00;00/01/00;Private;Van;Urban;5; 198.000 
SDF0000045099;24;M;30/09/00;00/01/00;Commercial;Van;Urban;5; 305.000 
KDF0000045100;47;M;04/10/00;00/01/00;Commercial;Truck;Urban;1; 339.000 
TDF0000045101;63;M;24/07/00;00/01/00;Commercial;Van;Urban;1; 170.000 
SDF0000045102;72;M;25/07/00;00/01/00;Private;Sports Car;Urban;5; 324.000 
KDF0000045103;75;F;04/06/00;00/01/00;Commercial;Pickup;Urban;5; 78.000 
TDF0000045104;47;M;16/12/00;00/01/00;Commercial;Sports Car;Rural;5; 635.000 
TDF0000045105;46;F;13/10/00;00/01/00;Private;Minivan;Urban;5; 655.000 
GDF0000045106;20;M;10/01/00;00/01/00;Private;Pickup;Urban;5; 267.000 
GDF0000045107;65;M;30/01/00;00/01/00;Private;Minivan;Urban;5; 571.000 
SDF0000045108;72;F;20/03/00;00/01/00;Private;SUV;Urban;2; 45.000 
SDF0000045109;24;F;04/07/00;00/01/00;Private;Pickup;Urban;5; 563.000 
TDF0000045110;65;M;27/12/00;00/01/00;Private;SUV;Urban;4; 78.000 
SDF0000045111;40;F;12/01/00;00/01/00;Private;Pickup;Urban;5; 467.000 
TDF0000045112;78;F;06/01/00;00/01/00;Private;Minivan;Urban;4; 38.000 
SDF0000045113;70;M;04/06/00;00/01/00;Commercial;Van;Urban;1; 141.000 
TDF0000045114;63;M;04/07/00;00/01/00;Private;SUV;Urban;5; 588.000 
ADF0000045115;66;F;12/11/00;00/01/00;Private;Minivan;Rural;5; 613.000 
ADF0000045116;67;F;09/05/00;00/01/00;Commercial;Truck;Urban;1; 647.000 
ADF0000045117;19;F;06/09/00;00/01/00;Private;SUV;Rural;1; 466.000 
TDF0000045118;41;F;17/02/00;00/01/00;Private;Minivan;Rural;1; 280.000 
SDF0000045119;40;M;16/01/00;00/01/00;Private;SUV;Urban;1; 444.000 
SDF0000045120;31;M;30/06/00;00/01/00;Private;SUV;Urban;1; 411.000 
TDF0000045121;68;M;18/02/00;00/01/00;Commercial;Van;Urban;1; 275.000 
SDF0000045122;35;F;17/10/00;00/01/00;Private;Minivan;Urban;1; 21.000 
TDF0000045123;50;F;25/08/00;00/01/00;Commercial;Pickup;Urban;1; 561.000 
SDF0000045124;77;M;09/09/00;00/01/00;Private;SUV;Urban;1; 325.000 
TDF0000045125;23;M;23/09/00;00/01/00;Private;SUV;Urban;1; 139.000 
ADF0000045126;61;M;05/12/00;00/01/00;Commercial;Pickup;Urban;1; 526.000 
GDF0000045127;58;M;28/01/00;00/01/00;Private;SUV;Rural;1; 601.000 
TDF0000045128;31;M;07/07/00;00/01/00;Private;Minivan;Urban;1; 189.000 
GDF0000045129;41;M;12/09/00;00/01/00;Commercial;Van;Urban;1; 225.000 
SDF0000045130;40;F;11/07/00;00/01/00;Commercial;Pickup;Urban;3; 342.000 
SDF0000045131;56;F;01/07/00;00/01/00;Private;Sports Car;Rural;1; 458.000 
TDF0000045132;27;F;16/08/00;00/01/00;Private;Minivan;Urban;1; 217.000 
TDF0000045133;36;M;17/01/00;00/01/00;Private;SUV;Urban;3; 122.000 
TDF0000045134;44;M;17/04/00;00/01/00;Commercial;Pickup;Urban;2; 203.000 
KDF0000045135;35;M;11/07/00;00/01/00;Commercial;Sports Car;Urban;2; 417.000 
ADF0000045136;52;F;25/05/00;00/01/00;Private;SUV;Urban;1; 719.000 
SDF0000045137;55;F;09/12/00;00/01/00;Private;Pickup;Rural;1; 706.000 
GDF0000045138;71;M;06/12/00;00/01/00;Private;SUV;Urban;2; 569.000 
GDF0000045139;46;F;07/10/00;00/01/00;Private;Sports Car;Urban;1; 470.000 
SDF0000045140;63;M;09/05/00;00/01/00;Private;Pickup;Urban;1; 48.000 
KDF0000045141;37;M;26/02/00;00/01/00;Private;Pickup;Urban;1; 598.000 
KDF0000045142;78;F;18/04/00;00/01/00;Private;Pickup;Urban;2; 397.000 
ADF0000045143;51;F;14/06/00;00/01/00;Private;Minivan;Urban;1; 229.000 
ADF0000045144;19;F;17/12/00;00/01/00;Commercial;Pickup;Urban;1; 277.000 
KDF0000045145;57;F;13/01/00;00/01/00;Private;SUV;Urban;3; 623.000 
ADF0000045146;54;M;20/01/00;00/01/00;Commercial;Pickup;Urban;1; 607.000 
ADF0000045147;70;F;20/02/00;00/01/00;Private;SUV;Urban;1; 46.000 
ADF0000045148;62;F;12/11/00;00/01/00;Private;Minivan;Urban;1; 663.000 
KDF0000045149;24;M;02/11/00;00/01/00;Private;Van;Urban;1; 282.000 
SDF0000045150;77;M;06/01/00;00/01/00;Private;SUV;Urban;1; 383.000 
SDF0000045151;73;M;10/06/00;00/01/00;Commercial;Truck;Rural;1; 13.000 
ADF0000045152;72;F;07/01/00;00/01/00;Private;SUV;Urban;1; 150.000 
KDF0000045153;41;M;12/03/00;00/01/00;Private;Minivan;Urban;1; 338.000 
